"ID","lon","lat","ele","time"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.2908821013,12.1065605991,"3.50","2021-06-29T20:58:10Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.2908787485,12.1065515466,"3.50","2021-06-29T20:58:18Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.2908709534,12.1065662149,"3.02","2021-06-29T20:58:26Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.2908591349,12.1065705735,"1.58","2021-06-29T20:58:36Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.2908691093,12.1065834817,"2.06","2021-06-29T20:58:46Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.2908919081,12.1065918636,"1.58","2021-06-29T20:58:58Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.2909375057,12.1065989882,"1.58","2021-06-29T20:59:09Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.2909114379,12.1066004969,"1.58","2021-06-29T20:59:18Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.2909042295,12.1066287439,"2.54","2021-06-29T20:59:28Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.2909067441,12.106616674,"3.02","2021-06-29T20:59:36Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.2909037266,12.1066358685,"3.50","2021-06-29T20:59:44Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.2909015473,12.1066366229,"3.02","2021-06-29T20:59:54Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.2909114379,12.1066353656,"3.98","2021-06-29T21:00:04Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.2909124438,12.1066376287,"3.50","2021-06-29T21:00:14Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.2909045648,12.1066354495,"3.50","2021-06-29T21:00:24Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.2909036428,12.1066268161,"3.50","2021-06-29T21:00:34Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.2909051515,12.106631007,"3.50","2021-06-29T21:00:43Z"
